cost,loss,epsilon,ROC,Sens,Spec,ROCSD,SensSD,SpecSD,model
0.05,L2_primal,0.01,0.7833412698412698,0.6521666666666667,0.7849285714285714,0.09856944735868305,0.2530732928796634,0.1744403484221688,L2_Logistic_Regression
0.1,L2_primal,0.01,0.7910510912698413,0.6830833333333334,0.7724345238095238,0.09663444828269532,0.2196354874510273,0.17337358494751792,L2_Logistic_Regression
0.25,L2_primal,0.01,0.7998843253968254,0.72925,0.7590238095238095,0.09815891243012216,0.1816274948931811,0.16973437139853823,L2_Logistic_Regression
0.5,L2_primal,0.01,0.8065164682539683,0.7480833333333333,0.7448214285714285,0.09553010056059583,0.16884818110817754,0.17221542079118746,L2_Logistic_Regression
1,L2_primal,0.01,0.8132808531746032,0.7634166666666666,0.73875,0.09381908604648956,0.16431929448971255,0.17457144630943056,L2_Logistic_Regression
10,L2_primal,0.01,0.8285065476190476,0.788,0.7219880952380953,0.09695137627100865,0.17411465446027927,0.1759742497696836,L2_Logistic_Regression
1e-6,L2_primal,0.01,0.8417170634920634,0.6348333333333334,0.8314345238095238,0.13293046167821318,0.30319897810487656,0.20408433590312738,L2_Logistic_Regression
1e-5,L2_primal,0.01,0.8417170634920634,0.6348333333333334,0.8314345238095238,0.13293046167821318,0.30319897810487656,0.20408433590312738,L2_Logistic_Regression
1e-4,L2_primal,0.01,0.8417170634920634,0.6348333333333334,0.8314345238095238,0.13293046167821318,0.30319897810487656,0.20408433590312738,L2_Logistic_Regression
0.001,L2_primal,0.01,0.8413390873015874,0.6325833333333334,0.8328630952380952,0.1325819660049925,0.3019770028886143,0.20224183025217055,L2_Logistic_Regression
0.0025,L2_primal,0.01,0.8423216269841269,0.63025,0.8328630952380952,0.1328557287556162,0.29893295019154004,0.20155045089937149,L2_Logistic_Regression
0.005,L2_primal,0.01,0.8432119047619048,0.6243333333333333,0.8343214285714285,0.13392860245613367,0.3001481115864114,0.19728217040623702,L2_Logistic_Regression
0.01,L2_primal,0.01,0.8447704365079365,0.6133333333333333,0.8373452380952381,0.13091038933611315,0.3056649212936219,0.19586709437247346,L2_Logistic_Regression
0.05,L2_primal,0.01,0.8382103174603175,0.5979166666666667,0.8416607142857143,0.1260269577209687,0.2992776409375734,0.1924755048016922,L2_Logistic_Regression
0.1,L2_primal,0.01,0.8399742063492064,0.6128333333333333,0.8277738095238095,0.12040539345077021,0.2819466014995613,0.19407898170897717,L2_Logistic_Regression
0.25,L2_primal,0.01,0.8480734126984127,0.6434166666666666,0.8054523809523809,0.11610632298058543,0.25937420662428357,0.19888637818814875,L2_Logistic_Regression
0.5,L2_primal,0.01,0.854011111111111,0.67125,0.780047619047619,0.10883261786253613,0.24875422439448913,0.20069083844212118,L2_Logistic_Regression
1,L2_primal,0.01,0.8586021825396826,0.6858333333333333,0.769095238095238,0.1054688412760795,0.2245396680653481,0.20261130985759782,L2_Logistic_Regression
10,L2_primal,0.01,0.8687875,0.7280833333333333,0.7490595238095238,0.09892547578557631,0.20265254885037978,0.1853850287313459,L2_Logistic_Regression
1e-6,L2_primal,0.01,0.5790468253968254,0.4025,0.7410595238095238,0.12731230428273954,0.24003157944107734,0.20604429029737095,L2_Logistic_Regression
1e-5,L2_primal,0.01,0.5790468253968254,0.4025,0.7410595238095238,0.12731230428273954,0.24003157944107734,0.20604429029737095,L2_Logistic_Regression
1e-4,L2_primal,0.01,0.5790468253968254,0.4025,0.7410595238095238,0.12731230428273954,0.24003157944107734,0.20604429029737095,L2_Logistic_Regression
0.001,L2_primal,0.01,0.5794952380952381,0.4025,0.7403452380952381,0.12716025443187678,0.24003157944107734,0.20638490953144484,L2_Logistic_Regression
0.0025,L2_primal,0.01,0.5807769841269841,0.40475,0.738202380952381,0.127615026551156,0.240285154787786,0.2068934857679634,L2_Logistic_Regression
0.005,L2_primal,0.01,0.5818831349206349,0.40775,0.7360595238095238,0.12806774787686145,0.23894822052863743,0.20638714558945018,L2_Logistic_Regression
0.01,L2_primal,0.01,0.5849727182539682,0.41333333333333333,0.7257916666666666,0.12765543970731005,0.23628782758555994,0.20555574225188414,L2_Logistic_Regression
0.05,L2_primal,0.01,0.5981980158730159,0.45966666666666667,0.6913869047619048,0.12575652644546306,0.22552352395000771,0.20456094642072978,L2_Logistic_Regression
0.1,L2_primal,0.01,0.6091164682539683,0.49541666666666667,0.6708095238095239,0.12300286090456626,0.21425951522860462,0.20340814305880897,L2_Logistic_Regression
0.25,L2_primal,0.01,0.6269125992063492,0.53125,0.6474047619047619,0.12063091056120545,0.18688084073026087,0.20076472578458843,L2_Logistic_Regression
0.5,L2_primal,0.01,0.6401258928571428,0.5535,0.6361666666666667,0.11771694043950189,0.1697667299617283,0.20568179182230031,L2_Logistic_Regression
1,L2_primal,0.01,0.6511502976190476,0.56925,0.6282797619047619,0.11890338984607322,0.16757789008765792,0.2032427668074324,L2_Logistic_Regression
10,L2_primal,0.01,0.67235,0.5949166666666666,0.627297619047619,0.12364586917894414,0.16951665036666888,0.20106112541148705,L2_Logistic_Regression
1e-6,L2_primal,0.01,0.5661698412698413,0.45741666666666664,0.698202380952381,0.14428822143072698,0.29187631852458706,0.21449210335482527,L2_Logistic_Regression
1e-5,L2_primal,0.01,0.5661698412698413,0.45741666666666664,0.698202380952381,0.14428822143072698,0.29187631852458706,0.21449210335482527,L2_Logistic_Regression
1e-4,L2_primal,0.01,0.5661698412698413,0.45741666666666664,0.698202380952381,0.14428822143072698,0.29187631852458706,0.21449210335482527,L2_Logistic_Regression
0.001,L2_primal,0.01,0.5655483134920635,0.4514166666666667,0.7014166666666667,0.14421121456814964,0.29231157464638674,0.21033350470284903,L2_Logistic_Regression
0.0025,L2_primal,0.01,0.5662090277777778,0.4454166666666667,0.7115357142857143,0.14271847826699874,0.29220248700430657,0.20689755445926988,L2_Logistic_Regression
0.005,L2_primal,0.01,0.5661371031746032,0.4405833333333333,0.7164761904761905,0.14285928072675477,0.28596217386213046,0.20105534923370244,L2_Logistic_Regression
