row,column,cor,p
Otu00930,Otu01273,1,0
Otu00967,Otu01273,1,0
Otu00974,Otu01273,1,0
Otu01091,Otu01273,1,0
Otu01100,Otu01273,1,0
Otu01155,Otu01273,1,0
Otu01218,Otu01273,1,0
Otu00838,Otu01275,1,0
Otu00149,Otu01281,1,0
Otu00415,Otu01281,1,0
Otu00488,Otu01281,1,0
Otu00564,Otu01281,1,0
Otu01062,Otu01281,1,0
Otu01174,Otu01281,1,0
Otu00580,Otu01282,1,0
Otu00649,Otu01282,1,0
Otu00703,Otu01282,1,0
Otu00801,Otu01282,1,0
Otu00857,Otu01282,1,0
Otu00988,Otu01282,1,0
Otu00368,Otu01290,1,0
Otu00400,Otu01290,1,0
Otu00560,Otu01290,1,0
Otu00807,Otu01290,1,0
Otu00930,Otu01290,1,0
Otu00967,Otu01290,1,0
Otu00974,Otu01290,1,0
Otu01091,Otu01290,1,0
Otu01100,Otu01290,1,0
Otu01155,Otu01290,1,0
Otu01218,Otu01290,1,0
Otu01273,Otu01290,1,0
Otu00366,Otu01291,1,0
Otu00476,Otu01291,1,0
Otu00521,Otu01291,1,0
Otu00531,Otu01291,1,0
Otu00588,Otu01291,1,0
Otu00617,Otu01291,1,0
Otu00777,Otu01291,1,0
Otu00783,Otu01291,1,0
Otu00886,Otu01291,1,0
Otu00957,Otu01291,1,0
Otu01086,Otu01291,1,0
Otu01098,Otu01291,1,0
Otu01160,Otu01291,1,0
Otu01180,Otu01291,1,0
Otu01245,Otu01291,1,0
Otu00716,Otu01294,1,0
Otu00804,Otu01294,1,0
Otu00881,Otu01294,1,0
Otu01094,Otu01294,1,0
Otu01232,Otu01294,1,0
Otu01236,Otu01294,1,0
Otu00785,Otu01297,1,0
Otu00870,Otu01297,1,0
Otu00580,Otu01314,1,0
Otu00649,Otu01314,1,0
Otu00703,Otu01314,1,0
Otu00801,Otu01314,1,0
Otu00857,Otu01314,1,0
Otu00988,Otu01314,1,0
Otu01282,Otu01314,1,0
Otu00716,Otu01316,1,0
Otu00804,Otu01316,1,0
Otu00881,Otu01316,1,0
Otu01094,Otu01316,1,0
Otu01232,Otu01316,1,0
Otu01236,Otu01316,1,0
Otu01294,Otu01316,1,0
Otu00218,Otu01318,1,0
Otu00247,Otu01318,1,0
Otu00582,Otu01318,1,0
Otu00585,Otu01318,1,0
Otu00928,Otu01318,1,0
Otu00253,Otu01323,1,0
Otu00499,Otu01323,1,0
Otu01115,Otu01323,1,0
Otu00525,Otu01327,1,0
Otu00546,Otu01327,1,0
Otu00551,Otu01327,1,0
Otu00950,Otu01327,1,0
Otu01024,Otu01327,1,0
Otu01239,Otu01327,1,0
Otu01267,Otu01327,1,0
Otu00820,Otu01334,1,0
Otu00838,Otu01337,1,0
Otu01275,Otu01337,1,0
Otu00598,Otu01340,1,0
Otu00678,Otu01340,1,0
Otu00770,Otu01340,1,0
Otu01099,Otu01340,1,0
Otu01132,Otu01340,1,0
Otu01252,Otu01340,1,0
Otu00838,Otu01349,1,0
Otu01275,Otu01349,1,0
Otu01337,Otu01349,1,0
Otu00587,Otu01353,1,0
Otu00990,Otu01353,1,0
Otu00579,Otu01356,1,0
Otu00747,Otu01356,1,0
Otu00782,Otu01356,1,0
Otu01007,Otu01356,1,0
Otu00616,Otu01358,1,0
Otu00218,Otu01361,1,0
Otu00247,Otu01361,1,0
Otu00582,Otu01361,1,0
Otu00585,Otu01361,1,0
Otu00928,Otu01361,1,0
Otu01318,Otu01361,1,0
Otu00580,Otu01363,1,0
Otu00649,Otu01363,1,0
Otu00703,Otu01363,1,0
Otu00801,Otu01363,1,0
Otu00857,Otu01363,1,0
Otu00988,Otu01363,1,0
Otu01282,Otu01363,1,0
Otu01314,Otu01363,1,0
Otu00757,Otu01367,1,0
Otu00366,Otu01370,1,0
Otu00476,Otu01370,1,0
Otu00521,Otu01370,1,0
Otu00531,Otu01370,1,0
Otu00588,Otu01370,1,0
Otu00617,Otu01370,1,0
Otu00777,Otu01370,1,0
Otu00783,Otu01370,1,0
Otu00886,Otu01370,1,0
Otu00957,Otu01370,1,0
Otu01086,Otu01370,1,0
Otu01098,Otu01370,1,0
Otu01160,Otu01370,1,0
Otu01180,Otu01370,1,0
Otu01245,Otu01370,1,0
Otu01291,Otu01370,1,0
Otu00302,Otu01378,1,0
Otu00308,Otu01378,1,0
Otu00348,Otu01378,1,0
Otu00677,Otu01378,1,0
Otu00701,Otu01378,1,0
Otu00789,Otu01378,1,0
Otu00937,Otu01378,1,0
Otu00949,Otu01378,1,0
Otu01018,Otu01378,1,0
Otu01067,Otu01378,1,0
Otu01215,Otu01378,1,0
Otu00757,Otu01382,1,0
Otu01367,Otu01382,1,0
Otu00236,Otu01385,1,0
Otu00637,Otu01385,1,0
Otu00679,Otu01385,1,0
Otu00733,Otu01385,1,0
Otu00749,Otu01385,1,0
Otu00780,Otu01385,1,0
Otu00816,Otu01385,1,0
Otu00883,Otu01385,1,0
Otu01002,Otu01385,1,0
Otu01210,Otu01385,1,0
Otu01260,Otu01385,1,0
Otu00218,Otu01388,1,0
Otu00247,Otu01388,1,0
Otu00582,Otu01388,1,0
Otu00585,Otu01388,1,0
Otu00928,Otu01388,1,0
Otu01318,Otu01388,1,0
Otu01361,Otu01388,1,0
Otu00598,Otu01399,1,0
Otu00678,Otu01399,1,0
Otu00770,Otu01399,1,0
Otu01099,Otu01399,1,0
Otu01132,Otu01399,1,0
Otu01252,Otu01399,1,0
